"Id","ActivityDate","TotalSteps","SedentaryMinutes","Calories","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TimeInBedAwake"
1927972279,2016-04-28,1675,1167,2351,1,166,178,12
2026352035,2016-04-13,4993,663,1521,1,531,565,34
2026352035,2016-04-14,3335,653,1431,1,545,568,23
2026352035,2016-04-15,3821,687,1444,1,523,573,50
2026352035,2016-04-16,2547,728,1373,1,524,567,43
2026352035,2016-04-17,838,1053,1214,1,437,498,61
2026352035,2016-04-19,2424,785,1356,1,498,540,42
2026352035,2016-04-20,7222,623,1667,1,461,510,49
2026352035,2016-04-21,2467,749,1370,1,477,514,37
2026352035,2016-04-22,2915,712,1399,1,520,545,25
2026352035,2016-04-23,12357,458,1916,1,522,554,32
2026352035,2016-04-24,3490,704,1401,1,555,591,36
2026352035,2016-04-25,6017,821,1576,1,506,531,25
2026352035,2016-04-27,6088,586,1593,1,508,545,37
2026352035,2016-04-28,6375,626,1649,1,513,545,32
2026352035,2016-04-29,7604,492,1692,1,490,510,20
2026352035,2016-04-30,4729,594,1506,1,573,607,34
2026352035,2016-05-01,3609,716,1447,1,527,546,19
2026352035,2016-05-02,7018,716,1690,1,511,543,32
2026352035,2016-05-04,6564,530,1658,1,538,560,22
2026352035,2016-05-05,12167,479,1926,1,468,485,17
2026352035,2016-05-06,8198,511,1736,1,524,548,24
2026352035,2016-05-07,4193,665,1491,1,511,521,10
2026352035,2016-05-08,5528,610,1555,1,541,568,27
2026352035,2016-05-09,10685,543,1869,1,531,556,25
2026352035,2016-05-10,254,1002,1141,1,357,380,23
2026352035,2016-05-11,8580,569,1698,1,523,553,30
2026352035,2016-05-12,8891,330,1364,1,456,485,29
2320127002,2016-04-23,5079,1129,1804,1,61,69,8
2347167796,2016-04-13,10352,676,2038,1,467,531,64
2347167796,2016-04-14,10129,705,2010,1,445,489,44
2347167796,2016-04-15,10465,720,2133,1,452,504,52
2347167796,2016-04-17,5472,508,1882,1,556,602,46
2347167796,2016-04-18,8247,678,1944,1,500,557,57
2347167796,2016-04-19,6711,648,2346,1,465,514,49
2347167796,2016-04-21,10080,761,2048,1,460,484,24
2347167796,2016-04-22,7804,781,1946,1,405,461,56
2347167796,2016-04-23,16901,591,2629,1,374,386,12
2347167796,2016-04-24,9471,584,2187,1,442,459,17
2347167796,2016-04-25,9482,653,2095,1,433,471,38
2347167796,2016-04-26,5980,732,1861,1,436,490,54
2347167796,2016-04-27,11423,623,2194,1,448,499,51
2347167796,2016-04-28,5439,764,1854,1,408,450,42
2347167796,2016-04-29,42,2,403,1,411,473,62
3977333714,2016-04-13,10035,754,1495,2,295,456,161
3977333714,2016-04-14,7641,801,1433,1,291,397,106
3977333714,2016-04-15,9010,644,1468,1,424,556,132
3977333714,2016-04-16,13459,663,1625,1,283,510,227
3977333714,2016-04-17,10415,600,1529,1,381,566,185
3977333714,2016-04-18,11663,605,1584,2,412,522,110
3977333714,2016-04-19,12414,738,1638,1,219,395,176
3977333714,2016-04-20,11658,845,1554,2,152,305,153
3977333714,2016-04-21,6093,712,1397,1,332,512,180
3977333714,2016-04-22,8911,731,1481,1,355,476,121
3977333714,2016-04-23,12058,724,1638,1,235,372,137
3977333714,2016-04-24,14112,660,1655,1,310,526,216
3977333714,2016-04-25,11177,781,1570,1,262,467,205
3977333714,2016-04-26,11388,797,1551,1,250,371,121
3977333714,2016-04-27,7193,714,1377,1,349,540,191
3977333714,2016-04-28,7114,804,1407,1,261,423,162
3977333714,2016-04-29,10645,744,1545,1,333,478,145
3977333714,2016-04-30,13238,687,1650,1,237,382,145
3977333714,2016-05-01,10414,691,1501,1,383,626,243
3977333714,2016-05-02,16520,713,1760,1,230,384,154
3977333714,2016-05-03,14335,594,1710,1,292,500,208
3977333714,2016-05-04,13559,852,1628,1,213,336,123
3977333714,2016-05-05,12312,680,1618,1,318,480,162
3977333714,2016-05-06,11677,676,1590,1,323,512,189
3977333714,2016-05-07,11550,703,1574,1,237,443,206
3977333714,2016-05-08,13585,688,1633,2,259,456,197
3977333714,2016-05-10,13072,676,1630,1,312,452,140
4020332650,2016-04-16,1982,1222,3051,1,77,77,0
4020332650,2016-05-03,4496,950,2828,1,322,332,10
4020332650,2016-05-04,10252,531,3879,1,478,536,58
4020332650,2016-05-05,11728,916,3429,1,226,248,22
4020332650,2016-05-06,4369,855,2704,1,385,408,23
4020332650,2016-05-08,5862,775,3089,1,364,402,38
4020332650,2016-05-10,5546,774,2926,1,442,494,52
4319703577,2016-04-14,10210,589,2302,1,535,557,22
4319703577,2016-04-15,5664,752,1985,1,465,491,26
4319703577,2016-04-16,4744,724,1884,1,506,522,16
4319703577,2016-04-18,2276,824,1632,1,515,551,36
4319703577,2016-04-19,8925,604,2200,2,461,498,37
4319703577,2016-04-20,8954,671,2220,1,523,543,20
4319703577,2016-04-21,3702,1265,1792,1,59,65,6
4319703577,2016-04-22,4500,709,1886,1,533,550,17
4319703577,2016-04-23,4935,546,1945,1,692,722,30
4319703577,2016-04-24,4081,692,1880,1,467,501,34
4319703577,2016-04-25,9259,544,2314,1,488,506,18
4319703577,2016-04-26,9899,649,2236,1,505,516,11
4319703577,2016-04-27,10780,680,2324,1,286,307,21
4319703577,2016-04-28,10817,552,2367,1,497,522,25
4319703577,2016-04-29,7990,624,2175,1,523,546,23
4319703577,2016-04-30,8221,695,2092,1,490,516,26
4319703577,2016-05-01,1251,836,1593,1,484,500,16
4319703577,2016-05-02,9261,585,2270,1,478,506,28
4319703577,2016-05-03,9648,669,2235,1,474,512,38
4319703577,2016-05-06,9524,692,2266,1,450,491,41
4319703577,2016-05-07,7937,586,2158,1,507,530,23
4319703577,2016-05-08,3672,603,1792,1,602,638,36
4319703577,2016-05-09,10378,490,2345,1,535,565,30
4319703577,2016-05-10,9487,555,2260,1,487,517,30
4319703577,2016-05-11,9129,574,2232,1,529,558,29
4319703577,2016-05-12,17,0,257,1,302,321,19
4388161847,2016-04-15,8758,837,3066,1,499,526,27
4388161847,2016-04-16,6580,609,3073,2,426,448,22
4388161847,2016-04-17,4660,721,2572,2,619,641,22
4388161847,2016-04-18,11009,1017,3274,1,99,104,5
4388161847,2016-04-19,10181,704,3015,1,329,338,9
4388161847,2016-04-20,10553,696,3083,1,421,451,30
4388161847,2016-04-21,10055,853,3069,1,442,458,16
4388161847,2016-04-22,12139,945,3544,1,82,85,3
4388161847,2016-04-23,13236,749,3306,1,478,501,23
4388161847,2016-04-24,10243,584,2885,3,552,595,43
4388161847,2016-04-26,9461,673,2929,1,319,346,27
4388161847,2016-04-27,11193,684,3074,1,439,500,61
4388161847,2016-04-28,10074,878,2969,1,428,458,30
4388161847,2016-04-30,12533,537,3283,2,409,430,21
4388161847,2016-05-01,10255,579,2926,1,547,597,50
4388161847,2016-05-02,10096,935,3147,2,368,376,8
4388161847,2016-05-04,12375,632,3162,1,390,414,24
4388161847,2016-05-05,9603,896,2899,1,471,495,24
4388161847,2016-05-05,9603,896,2899,1,471,495,24
4388161847,2016-05-07,22770,508,4022,1,472,496,24
4388161847,2016-05-08,17298,576,3934,2,529,541,12
4388161847,2016-05-09,10218,1020,3013,1,62,65,3
4388161847,2016-05-10,10299,648,3061,1,354,375,21
4388161847,2016-05-11,10201,858,2954,1,469,494,25
4445114986,2016-04-13,2961,840,2095,2,370,406,36
4445114986,2016-04-14,3974,717,2194,1,441,492,51
4445114986,2016-04-15,7198,711,2496,2,337,379,42
4445114986,2016-04-16,3945,716,2180,1,462,499,37
4445114986,2016-04-17,2268,1219,1933,1,98,107,9
4445114986,2016-04-19,2064,895,1954,2,388,424,36
4445114986,2016-04-20,2072,841,1974,1,439,462,23
4445114986,2016-04-21,3809,756,2150,1,436,469,33
4445114986,2016-04-22,6831,706,2432,1,388,417,29
4445114986,2016-04-25,3385,916,2070,1,328,345,17
4445114986,2016-04-26,6326,839,2291,2,353,391,38
4445114986,2016-04-27,7243,839,2361,1,332,374,42
4445114986,2016-04-28,4493,762,2203,1,419,442,23
4445114986,2016-04-29,4676,1106,2196,1,106,108,2
4445114986,2016-04-30,6222,797,2363,1,322,353,31
4445114986,2016-05-01,5232,741,2246,2,439,459,20
4445114986,2016-05-02,6910,667,2336,1,502,542,40
4445114986,2016-05-03,7502,725,2421,2,417,450,33
4445114986,2016-05-04,2923,897,2070,2,337,363,26
4445114986,2016-05-05,3800,734,2120,2,462,513,51
4445114986,2016-05-06,4514,809,2211,2,374,402,28
4445114986,2016-05-07,5183,866,2123,2,401,436,35
4445114986,2016-05-08,7303,733,2423,1,361,391,30
4445114986,2016-05-09,5275,641,2281,1,457,533,76
4445114986,2016-05-10,3915,783,2181,1,405,426,21
4445114986,2016-05-11,9105,622,2499,1,499,530,31
4445114986,2016-05-12,768,380,1212,1,483,501,18
4558609924,2016-04-21,13743,844,2486,1,126,137,11
4558609924,2016-04-26,9148,1062,2223,1,103,121,18
4558609924,2016-04-29,7833,1096,1918,1,171,179,8
4558609924,2016-05-01,3428,1121,1692,1,115,129,14
4558609924,2016-05-08,6543,1019,2666,1,123,134,11
4702921684,2016-04-13,6877,777,2898,2,400,430,30
4702921684,2016-04-14,7860,772,2984,1,384,415,31
4702921684,2016-04-15,6506,944,2896,1,253,257,4
4702921684,2016-04-16,11140,556,3328,2,382,406,24
4702921684,2016-04-17,12692,437,3394,1,591,612,21
4702921684,2016-04-18,9105,890,3013,1,293,312,19
4702921684,2016-04-19,6708,757,2812,1,457,487,30
4702921684,2016-04-20,8793,717,3061,1,454,468,14
4702921684,2016-04-21,6530,901,2729,1,425,434,9
4702921684,2016-04-23,15126,469,3691,1,465,475,10
4702921684,2016-04-24,15050,542,3538,1,480,506,26
4702921684,2016-04-25,9167,730,3064,1,370,380,10
4702921684,2016-04-26,6108,765,2784,1,421,429,8
4702921684,2016-04-27,7047,733,2908,1,432,449,17
4702921684,2016-04-28,9023,738,3033,1,442,461,19
4702921684,2016-04-29,9930,692,3165,1,433,447,14
4702921684,2016-04-30,10144,728,3115,1,479,501,22
4702921684,2016-05-03,9454,729,3145,1,327,373,46
4702921684,2016-05-04,8161,757,3004,1,412,434,22
4702921684,2016-05-05,8614,745,3006,1,414,428,14
4702921684,2016-05-06,6943,682,2859,1,404,449,45
4702921684,2016-05-07,14370,577,3683,1,520,543,23
4702921684,2016-05-07,14370,577,3683,1,520,543,23
4702921684,2016-05-09,8232,746,2990,1,435,458,23
4702921684,2016-05-10,10613,701,3172,1,416,431,15
4702921684,2016-05-11,9810,784,3069,1,354,366,12
4702921684,2016-05-12,2752,241,1240,1,404,442,38
5553957443,2016-04-13,4832,647,1718,2,455,488,33
5553957443,2016-04-14,17022,693,2324,1,357,418,61
5553957443,2016-04-15,16556,689,2254,1,377,409,32
5553957443,2016-04-16,5771,521,1831,2,651,686,35
5553957443,2016-04-17,655,943,1397,1,350,402,52
5553957443,2016-04-18,3727,622,1683,2,520,541,21
5553957443,2016-04-19,15482,756,2284,1,357,410,53
5553957443,2016-04-20,2713,598,1570,1,658,678,20
5553957443,2016-04-21,12346,801,2066,1,399,431,32
5553957443,2016-04-22,11682,781,2105,1,322,353,31
5553957443,2016-04-23,4112,443,1776,2,631,725,94
5553957443,2016-04-24,1807,582,1507,2,553,640,87
5553957443,2016-04-25,10946,732,2033,1,433,468,35
5553957443,2016-04-26,11886,750,2093,1,412,453,41
5553957443,2016-04-27,10538,745,1922,1,347,391,44
5553957443,2016-04-28,11393,727,1999,1,421,457,36
5553957443,2016-04-29,12764,709,2169,1,450,495,45
5553957443,2016-04-30,1202,506,1463,2,775,843,68
5553957443,2016-05-01,5164,436,1747,2,622,686,64
5553957443,2016-05-02,9769,724,1996,1,409,471,62
5553957443,2016-05-03,12848,812,2116,1,380,429,49
5553957443,2016-05-04,4249,651,1698,1,447,470,23
5553957443,2016-05-05,14331,692,2156,1,419,464,45
5553957443,2016-05-06,9632,761,1916,1,400,434,34
5553957443,2016-05-07,1868,902,1494,1,442,470,28
5553957443,2016-05-08,6083,505,1762,1,568,608,40
5553957443,2016-05-09,11611,667,2272,1,453,494,41
5553957443,2016-05-10,16358,707,2335,1,418,443,25
5553957443,2016-05-11,4926,628,1693,1,463,486,23
5553957443,2016-05-12,3121,222,741,1,438,475,37
5577150313,2016-04-12,8135,728,3405,1,419,438,19
5577150313,2016-04-13,5077,776,2551,1,432,458,26
5577150313,2016-04-14,8596,662,4022,1,477,497,20
5577150313,2016-04-15,12087,695,4005,1,392,413,21
5577150313,2016-04-16,14269,472,4274,1,406,445,39
5577150313,2016-04-17,12231,525,4552,1,549,583,34
5577150313,2016-04-18,9893,623,3625,1,527,553,26
5577150313,2016-04-19,12574,733,3501,1,449,465,16
5577150313,2016-04-20,8330,773,3192,1,447,480,33
5577150313,2016-04-21,10830,670,4018,1,414,437,23
5577150313,2016-04-22,9172,823,3329,1,338,366,28
5577150313,2016-04-23,7638,627,3152,1,384,402,18
5577150313,2016-04-24,15764,425,4392,1,543,615,72
5577150313,2016-04-25,6393,743,3374,1,421,461,40
5577150313,2016-04-26,5325,759,3088,1,354,377,23
5577150313,2016-04-27,6805,773,3294,1,424,452,28
5577150313,2016-04-28,9841,692,3580,1,361,372,11
5577150313,2016-04-29,7924,739,3544,1,459,485,26
5577150313,2016-04-30,12363,621,4501,1,412,433,21
5577150313,2016-05-01,13368,499,4546,1,379,398,19
5577150313,2016-05-02,7439,732,3014,2,525,553,28
5577150313,2016-05-03,11045,580,3795,1,508,543,35
5577150313,2016-05-04,5206,631,2755,1,603,634,31
5577150313,2016-05-05,7550,1153,3004,1,74,78,4
5577150313,2016-05-10,8869,639,3841,1,504,562,58
5577150313,2016-05-11,4038,257,1665,1,431,476,45
6117666160,2016-04-16,14450,502,2828,1,380,398,18
6117666160,2016-04-17,7150,702,2225,2,336,350,14
6117666160,2016-04-18,5153,759,2018,2,493,510,17
6117666160,2016-04-19,11135,425,2606,1,465,492,27
6117666160,2016-04-20,10449,587,2536,1,474,502,28
6117666160,2016-04-21,19542,579,4900,1,508,550,42
6117666160,2016-04-22,8206,413,2409,1,480,546,66
6117666160,2016-04-23,11495,468,2651,1,492,539,47
6117666160,2016-04-24,7623,711,2305,1,353,367,14
6117666160,2016-04-27,9411,417,2576,1,542,557,15
6117666160,2016-04-28,3403,758,1879,1,393,416,23
6117666160,2016-04-29,9592,479,2560,1,600,636,36
6117666160,2016-05-01,8915,525,2361,1,507,575,68
6117666160,2016-05-05,9799,479,2636,1,392,415,23
6117666160,2016-05-06,3365,673,1838,2,658,698,40
6117666160,2016-05-07,7336,456,2469,2,498,507,9
6117666160,2016-05-08,7328,517,2250,1,555,603,48
6117666160,2016-05-09,4477,125,1248,1,492,522,30
6775888955,2016-04-13,4053,1053,2400,1,235,260,25
6775888955,2016-04-14,5162,863,2507,1,423,441,18
6775888955,2016-04-15,1282,976,2127,1,391,406,15
6962181067,2016-04-13,5652,548,1718,3,630,679,49
6962181067,2016-04-14,1551,862,1466,2,508,535,27
6962181067,2016-04-15,5563,837,1756,1,370,386,16
6962181067,2016-04-16,13217,741,2173,1,357,366,9
6962181067,2016-04-17,10145,634,2027,1,427,446,19
6962181067,2016-04-18,11404,689,2039,1,442,458,16
6962181067,2016-04-19,10742,659,2046,1,476,535,59
6962181067,2016-04-20,13928,639,2174,1,418,424,6
6962181067,2016-04-21,11835,708,2179,1,451,457,6
6962181067,2016-04-22,10725,659,2086,1,425,435,10
6962181067,2016-04-23,20031,484,2571,1,528,546,18
6962181067,2016-04-24,5029,720,1705,1,511,514,3
6962181067,2016-04-25,13239,637,2194,1,400,415,15
6962181067,2016-04-26,10433,680,2012,1,441,446,5
6962181067,2016-04-27,10320,697,2034,1,455,467,12
6962181067,2016-04-28,12627,621,2182,1,440,453,13
6962181067,2016-04-29,10762,645,2254,1,433,447,14
6962181067,2016-04-30,10081,731,2002,1,422,424,2
6962181067,2016-05-01,5454,722,1740,1,411,426,15
6962181067,2016-05-02,12912,655,2162,1,466,482,16
6962181067,2016-05-03,12109,654,2072,1,394,418,24
6962181067,2016-05-04,10147,683,2086,1,442,455,13
6962181067,2016-05-05,10524,591,2066,1,467,491,24
6962181067,2016-05-06,5908,717,1850,1,443,462,19
6962181067,2016-05-07,6815,745,1947,1,298,334,36
6962181067,2016-05-08,4188,709,1659,1,541,569,28
6962181067,2016-05-09,12342,607,2105,1,489,497,8
6962181067,2016-05-10,15448,626,2361,1,469,481,12
6962181067,2016-05-11,6722,709,1855,1,452,480,28
6962181067,2016-05-12,3587,127,928,1,516,535,19
7007744171,2016-04-16,4631,1155,2076,1,79,82,3
7007744171,2016-05-01,5600,1142,2225,1,58,61,3
7086361926,2016-04-13,5813,744,2516,1,451,465,14
7086361926,2016-04-14,9123,787,2734,1,472,476,4
7086361926,2016-04-15,8585,864,2395,1,377,386,9
7086361926,2016-04-19,10688,671,2944,1,472,483,11
7086361926,2016-04-20,14365,797,2997,1,492,502,10
7086361926,2016-04-21,9469,758,2463,1,390,411,21
7086361926,2016-04-22,9753,762,2846,1,428,448,20
7086361926,2016-04-24,3520,566,2049,1,681,704,23
7086361926,2016-04-25,10091,706,2752,1,446,447,1
7086361926,2016-04-26,10387,726,2781,1,485,500,15
7086361926,2016-04-27,11107,829,2693,1,469,479,10
7086361926,2016-04-28,11584,810,2862,1,354,367,13
7086361926,2016-04-30,14560,584,2995,1,485,489,4
7086361926,2016-05-01,12390,685,2730,1,388,407,19
7086361926,2016-05-02,10052,737,2754,1,440,459,19
7086361926,2016-05-03,10288,761,2754,1,456,461,5
7086361926,2016-05-04,10988,843,2655,1,420,436,16
7086361926,2016-05-06,12461,834,2924,1,322,333,11
7086361926,2016-05-07,12827,621,2739,1,530,548,18
7086361926,2016-05-08,10677,695,2534,1,481,510,29
7086361926,2016-05-09,13566,743,2960,1,427,438,11
7086361926,2016-05-11,9572,757,2735,1,451,463,12
7086361926,2016-05-12,3789,343,1199,1,444,457,13
8053475328,2016-04-20,15108,695,3043,1,486,493,7
8053475328,2016-04-23,22359,741,3554,1,331,337,6
8053475328,2016-05-07,19769,1076,3331,1,74,75,1
8378563200,2016-04-13,12386,680,4079,2,447,487,40
8378563200,2016-04-14,13318,699,4163,1,424,455,31
8378563200,2016-04-15,14461,729,3666,1,513,533,20
8378563200,2016-04-16,11207,563,3363,2,611,689,78
8378563200,2016-04-17,2132,599,2572,2,525,591,66
8378563200,2016-04-18,13630,720,4157,1,398,451,53
8378563200,2016-04-19,13070,737,4092,1,387,421,34
8378563200,2016-04-20,9388,763,3787,1,381,409,28
8378563200,2016-04-21,15148,677,4236,1,396,417,21
8378563200,2016-04-22,12200,769,4044,1,441,469,28
8378563200,2016-04-23,5709,740,2908,1,565,591,26
8378563200,2016-04-24,3703,734,2741,1,458,492,34
8378563200,2016-04-25,12405,692,4005,1,388,402,14
8378563200,2016-04-25,12405,692,4005,1,388,402,14
8378563200,2016-04-26,16208,593,3763,1,550,584,34
8378563200,2016-04-27,7359,676,3061,1,531,600,69
8378563200,2016-04-28,5417,711,2884,1,506,556,50
8378563200,2016-04-29,6175,767,2982,1,527,562,35
8378563200,2016-04-30,2946,780,2660,1,468,555,87
8378563200,2016-05-01,11419,669,3369,1,475,539,64
8378563200,2016-05-02,6064,802,3491,1,351,385,34
8378563200,2016-05-03,8712,822,3784,1,405,429,24
8378563200,2016-05-04,7875,680,3110,1,441,477,36
8378563200,2016-05-05,8567,764,3783,1,381,417,36
8378563200,2016-05-06,7045,831,3644,1,323,355,32
8378563200,2016-05-07,4468,851,2799,2,459,513,54
8378563200,2016-05-08,2943,621,2685,1,545,606,61
8378563200,2016-05-09,8382,772,3721,1,359,399,40
8378563200,2016-05-10,6582,840,3586,1,342,391,49
8378563200,2016-05-11,9143,763,3788,1,368,387,19
8378563200,2016-05-12,4561,433,1976,1,496,546,50
8792009665,2016-04-13,1320,806,1934,1,531,552,21
8792009665,2016-04-14,1219,853,1963,1,486,503,17
8792009665,2016-04-15,2483,937,2009,1,363,377,14
8792009665,2016-04-20,3147,744,2188,1,528,547,19
8792009665,2016-04-22,4068,817,2419,1,391,407,16
8792009665,2016-04-23,5245,795,2748,1,339,360,21
8792009665,2016-04-27,1758,900,2067,1,423,428,5
8792009665,2016-04-28,6157,714,2780,1,402,416,14
8792009665,2016-04-29,8360,634,3101,1,398,406,8
8792009665,2016-04-30,7174,749,2896,1,343,360,17
8792009665,2016-05-01,1619,834,1962,1,503,527,24
8792009665,2016-05-02,1831,916,2015,1,415,423,8
8792009665,2016-05-03,2421,739,2297,1,516,545,29
8792009665,2016-05-04,2283,848,2067,1,439,463,24
